(4)	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
(5)	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
6	10	8	6	-	-	-	-	-	-	-	-	-	-	-	-
(7)	12	20	7	-	-	-	-	-	-	-	-	-	-	-	-
8	14	12	8	6	-	-	-	-	-	-	-	-	-	-	-
(9)	16	13	10	7	-	-	-	-	-	-	-	-	-	-	-
10	18	15	11	8	6	-	-	-	-	-	-	-	-	-	-
12	22	18	13	10	8	6	-	-	-	-	-	-	-	-	-
(14)	26	22	16	12	10	8	-	-	-	-	-	-	-	-	-
15	28	23	17	13	10	8	6	-	-	-	-	-	-	-	-
(16)	30	25	18	14	11	9	6	-	-	-	-	-	-	-	-
17	32	27	20	15	10	10	7	-	-	-	-	-	-	-	-
(18)	34	28	21	16	13	10	7	-	-	-	-	-	-	-	-
20	38	32	23	18	14	12	8	6	-	-	-	-	-	-	-
(22)	42	35	26	20	16	13	9	7	6	-	-	-	-	-	-
25	48	40	30	24	18	15	11	8	7	-	-	-	-	-	-
(28)	54	45	34	26	21	17	12	10	8	-	-	-	-	-	-
30	-	48	36	28	22	18	13	10	8	-	-	-	-	-	-
(32)	-	52	38	30	24	20	14	11	7	-	6	-	-	-	-
35	-	57	42	34	26	22	16	12	10	-	7	-	-	-	-
(38)	-	62	46	36	29	24	18	14	11	-	8	-	-	-	-
40	-	64	48	38	30	25	18	14	12	-	8	6	-	-	-
(42)	-	68	51	40	32	26	20	15	12	-	9	7	-	-	-
45	-	74	55	44	34	28	21	16	13	12	10	7	-	-	-
(48)	-	78	58	46	37	30	22	18	14	12	10	8	6	-	-
50	-	-	60	48	38	32	24	18	15	12	11	8	7	-	-
(52)	-	-	64	50	40	33	24	19	16	12	11	9	7	-	-
55	-	-	66	54	42	35	26	20	17	14	12	9	8	-	-
(58)	-	-	70	56	45	37	28	22	18	14	13	10	8	-	-
60	-	-	74	58	46	38	28	22	18	16	13	10	8	-	-
(62)	-	-	-	-	48	40	30	23	19	16	14	11	9	-	-
65	-	-	-	-	50	42	31	24	20	18	15	11	9	-	-
(68)	-	-	-	-	53	44	32	26	21	18	15	12	10	-	-
70	-	-	-	-	54	45	34	26	22	18	16	13	10	7	-
(72)	-	-	-	-	56	46	34	27	22	20	16	13	10	-	-
75	-	-	-	-	58	48	36	28	24	20	17	13	11	8	-
(78)	-	-	-	-	60	50	38	30	24	21	18	14	11	-	-
80	-	-	-	-	62	52	38	30	25	22	18	14	12	8	6
(82)	-	-	-	-	-	53	40	31	26	22	19	15	12	-	-
85	-	-	-	-	-	55	41	32	27	24	20	15	13	9	7
(88)	-	-	-	-	-	57	42	34	28	24	20	16	13	-	-
90	-	-	-	-	-	58	44	34	28	24	21	16	13	10	7
(92)	-	-	-	-	-	60	44	35	29	25	22	17	14	-	-
95	-	-	-	-	-	62	46	36	30	26	22	18	14	10	8
(98)	-	-	-	-	-	62	48	38	31	26	23	18	15	-	-
100	-	-	-	-	-	64	48	38	32	28	24	18	15	11	8
(105)	-	-	-	-	-	68	51	40	34	29	25	20	16	12	9
110	-	-	-	-	-	72	54	42	35	30	26	20	17	12	9
120	-	-	-	-	-	-	58	46	38	34	28	22	18	13	10
(130)	-	-	-	-	-	-	64	50	42	36	31	24	20	15	11
140	-	-	-	-	-	-	68	54	45	38	34	26	22	16	12
(150)	-	-	-	-	-	-	74	58	48	42	36	28	24	17	13
160	-	-	-	-	-	-	-	-	52	44	38	30	25	18	14
(170)	-	-	-	-	-	-	-	-	55	48	41	32	27	20	15
180	-	-	-	-	-	-	-	-	58	50	44	34	28	21	16
(190)	-	-	-	-	-	-	-	-	62	-	46	36	20	22	17
200	-	-	-	-	-	-	-	-	63	-	48	38	32	24	18
(210)	-	-	-	-	-	-	-	-	69	-	51	40	34	25	20
220	-	-	-	-	-	-	-	-	-	-	-	42	35	26	20
240	-	-	-	-	-	-	-	-	-	-	-	46	38	28	22
(250)	-	-	-	-	-	-	-	-	-	-	-	48	40	30	24
260	-	-	-	-	-	-	-	-	-	-	-	50	42	31	24
(280)	-	-	-	-	-	-	-	-	-	-	-	54	45	34	26
300	-	-	-	-	-	-	-	-	-	-	-	58	48	36	28
(320)	-	-	-	-	-	-	-	-	-	-	-	62	52	38	30
340	-	-	-	-	-	-	-	-	-	-	-	-	55	41	32
(360)	-	-	-	-	-	-	-	-	-	-	-	-	58	44	34
380	-	-	-	-	-	-	-	-	-	-	-	-	62	46	36
400	-	-	-	-	-	-	-	-	-	-	-	-	65	48	38
(420)	-	-	-	-	-	-	-	-	-	-	-	-	68	51	40
440	-	-	-	-	-	-	-	-	-	-	-	-	72	54	42
(450)	-	-	-	-	-	-	-	-	-	-	-	-	-	55	44
(460)	-	-	-	-	-	-	-	-	-	-	-	-	75	56	44
480	-	-	-	-	-	-	-	-	-	-	-	-	78	59	46
500	-	-	-	-	-	-	-	-	-	-	-	-	82	61	48
